,Speed,SegmentSize,TotalFuel
747,18.5,9500.1,1.647078297
748,19,9500.1,1.762496597
749,19.5,9500.1,1.884153545
750,20,9500.1,2.012210144
751,20.5,9500.1,2.14683023
752,21,9500.1,2.288190171
753,21.5,9500.1,2.436441421
754,22,9500.1,2.591711006
755,22.5,9500.1,2.75426774
756,23,9500.1,2.924177687
757,23.5,9500.1,3.101645031
758,24,9500.1,3.286828735
759,24.5,9500.1,3.479883438
760,25,9500.1,3.680988028
761,25.5,9500.1,3.87872842
762,26,9500.1,4.082663756
763,26.5,9500.1,4.297646306
764,27,9500.1,4.514364787
772,7,9500.2,0.326488403
773,7.5,9500.2,0.344068548
774,8,9500.2,0.377192075
775,8.5,9500.2,0.399417493
776,9,9500.2,0.432196853
777,9.5,9500.2,0.459714649
778,10,9500.2,0.495344885
779,10.5,9500.2,0.528847779
780,11,9500.2,0.565680848
781,11.5,9500.2,0.606031181
782,12,9500.2,0.650044551
783,12.5,9500.2,0.697871397
784,13,9500.2,0.749695422
785,13.5,9500.2,0.805656269
786,14,9500.2,0.865902453
787,14.5,9500.2,0.93064247
788,15,9500.2,1
789,15.5,9500.2,1.074133567
790,16,9500.2,1.153189843
791,16.5,9500.2,1.237388028
792,17,9500.2,1.3267985
793,17.5,9500.2,1.42163283
794,18,9500.2,1.522078735
795,18.5,9500.2,1.628238953
796,19,9500.2,1.740284735
797,19.5,9500.2,1.858413654
798,20,9500.2,1.982729527
799,20.5,9500.2,2.113436258
800,21,9500.2,2.25067503
801,21.5,9500.2,2.394605064
802,22,9500.2,2.54169659
803,22.5,9500.2,2.699107222
804,23,9500.2,2.867712445
805,23.5,9500.2,3.042021796
806,24,9500.2,3.233590519
807,24.5,9500.2,3.411286912
808,25,9500.2,3.588557099
809,25.5,9500.2,3.776768888
824,9,11500,0.405057041
825,9.5,11500,0.433925916
826,10,11500,0.466985002
827,10.5,11500,0.502376276
828,11,11500,0.543085419
829,11.5,11500,0.585525739
830,12,11500,0.634093076
831,12.5,11500,0.68411062
832,13,11500,0.738281218
833,13.5,11500,0.796793168
834,14,11500,0.859799703
835,14.5,11500,0.927472303
836,15,11500,1
837,15.5,11500,1.077473552
838,16,11500,1.160161449
839,16.5,11500,1.248154804
840,17,11500,1.341645327
841,17.5,11500,1.440816318
842,18,11500,1.545807025
843,18.5,11500,1.656823179
844,19,11500,1.773958456
845,19.5,11500,1.89744123
846,20,11500,2.027429519
847,20.5,11500,2.16408221
848,21,11500,2.307561466
849,21.5,11500,2.455330141
850,22,11500,2.612692565
851,22.5,11500,2.777356104
852,23,11500,2.949528879
853,23.5,11500,3.129312728
854,24,11500,3.316932513
855,24.5,11500,3.512535987
856,25,11500,3.695347588
857,25.5,11500,3.8880631
858,26,11500,4.086621353
859,26.5,11500,4.292741386
872,9,13500,0.421441695
873,9.5,13500,0.449535739
874,10,13500,0.484872512
875,10.5,13500,0.519059507
876,11,13500,0.557127579
877,11.5,13500,0.598269834
878,12,13500,0.643143309
879,12.5,13500,0.691917906
880,13,13500,0.744758806
881,13.5,13500,0.801825625
882,14,13500,0.863275502
883,14.5,13500,0.929280708
884,15,13500,1
885,15.5,13500,1.075584798
886,16,13500,1.156213063
887,16.5,13500,1.24203733
888,17,13500,1.333229087
889,17.5,13500,1.429939595
890,18,13500,1.532354328
891,18.5,13500,1.640610919
892,19,13500,1.754863043
893,19.5,13500,1.87529435
894,20,13500,2.002076232
895,20.5,13500,2.135360896
896,21,13500,2.275293938
897,21.5,13500,2.422066511
898,22,13500,2.575804015
899,22.5,13500,2.736717821
900,23,13500,2.904933242
901,23.5,13500,3.080615366
902,24,13500,3.263948874
903,24.5,13500,3.450215476
904,25,13500,3.646436591
905,25.5,13500,3.862194676
920,9,14500,0.330539436
921,9.5,14500,0.362943963
922,10,14500,0.406943447
923,10.5,14500,0.446329789
924,11,14500,0.490867576
925,11.5,14500,0.538163613
926,12,14500,0.589761458
927,12.5,14500,0.64584453
928,13,14500,0.706571033
929,13.5,14500,0.772180126
930,14,14500,0.842820729
931,14.5,14500,0.918694894
932,15,14500,1
933,15.5,14500,1.086900944
934,16,14500,1.179580883
935,16.5,14500,1.278245987
936,17,14500,1.383062796
937,17.5,14500,1.494259443
938,18,14500,1.6119844
939,18.5,14500,1.736426121
940,19,14500,1.867784473
941,19.5,14500,2.006246751
942,20,14500,2.152108617
943,20.5,14500,2.306107514
944,21,14500,2.468490144
945,21.5,14500,2.639456743
946,22,14500,2.818853966
947,22.5,14500,3.004106651
948,23,14500,3.194649716
949,23.5,14500,3.389707409
950,24,14500,3.591509649
970,10,17000,0.433595892
971,10.5,17000,0.471188632
972,11,17000,0.516774719
973,11.5,17000,0.561671018
974,12,17000,0.61063617
975,12.5,17000,0.663868095
976,13,17000,0.721524293
977,13.5,17000,0.783779715
978,14,17000,0.850825548
979,14.5,17000,0.922860056
980,15,17000,1
981,15.5,17000,1.082487771
982,16,17000,1.170453386
983,16.5,17000,1.264106201
984,17,17000,1.363622145
985,17.5,17000,1.46913669
986,18,17000,1.580877782
987,18.5,17000,1.698995785
988,19,17000,1.823671883
989,19.5,17000,1.955088491
990,20,17000,2.093430251
991,20.5,17000,2.238842195
992,21,17000,2.391518747
993,21.5,17000,2.551729927
994,22,17000,2.721350446
995,22.5,17000,2.90152933
996,23,17000,3.092439888
997,23.5,17000,3.29436432
998,24,17000,3.494403712
999,24.5,17000,3.695868059
1000,25,17000,3.90331625
1001,25.5,17000,4.117726498
1018,10,19000,0.532035702
1019,10.5,19000,0.56308686
1020,11,19000,0.597250104
1021,11.5,19000,0.634661779
1022,12,19000,0.675468837
1023,12.5,19000,0.719836315
1024,13,19000,0.767864983
1025,13.5,19000,0.819779857
1026,14,19000,0.875627328
1027,14.5,19000,0.935694574
1028,15,19000,1
1029,15.5,19000,1.068741509
1030,16,19000,1.142076002
1031,16.5,19000,1.220125594
1032,17,19000,1.303050837
1033,17.5,19000,1.391010752
1034,18,19000,1.484126901
1035,18.5,19000,1.582583309
1036,19,19000,1.686494211
1037,19.5,19000,1.796023011
1038,20,19000,1.911312506
1039,20.5,19000,2.032818722
1040,21,19000,2.161407609
1041,21.5,19000,2.297227844
1042,22,19000,2.440385118
1043,22.5,19000,2.590483421
1044,23,19000,2.743426039
1045,23.5,19000,2.889252475
1046,24,19000,3.043456484
1047,24.5,19000,3.201874885
